"","matrix..0.5.","matrix..5.10.","matrix..10.15.","matrix..15.20.","matrix..20.25.","matrix..25.30.","matrix..30.35.","matrix..35.40.","matrix..40.45.","matrix..45.50.","matrix..50.55.","matrix..55.60.","matrix..60.65.","matrix..65.70.","matrix..70.75.","matrix..75.80.","matrix.80.","participants.age.group","participants.participants","participants.proportion"
"[0,5)",1.35632183908046,0.655172413793103,0.172413793103448,0.0574712643678161,0.298850574712644,0.67816091954023,1.5632183908046,1.14942528735632,0.413793103448276,0.264367816091954,0.413793103448276,0.528735632183908,0.689655172413793,0.333333333333333,0.149425287356322,0.0459770114942529,0.0689655172413793,"[0,5)",87,0.0448684889118102
"[5,10)",0.330275229357798,9.51376146788991,1.20183486238532,0.211009174311927,0.155963302752294,0.568807339449541,1.10091743119266,1.3394495412844,1.06422018348624,0.403669724770642,0.275229357798165,0.330275229357798,0.385321100917431,0.284403669724771,0.165137614678899,0.0825688073394495,0.0642201834862385,"[5,10)",109,0.0562145435791645
"[10,15)",0.0955882352941176,0.735294117647059,10.7794117647059,0.919117647058823,0.154411764705882,0.433823529411765,0.404411764705882,0.875,1.08823529411765,0.654411764705882,0.352941176470588,0.147058823529412,0.257352941176471,0.169117647058824,0.154411764705882,0.125,0.102941176470588,"[10,15)",136,0.0701392470345539
"[15,20)",0.0740740740740741,0.135802469135802,0.679012345679012,7.75308641975309,0.537037037037037,0.506172839506173,0.561728395061728,0.679012345679012,0.845679012345679,1.12345679012346,0.728395061728395,0.179012345679012,0.166666666666667,0.0802469135802469,0.141975308641975,0.0987654320987654,0.141975308641975,"[15,20)",162,0.0835482207323363
"[20,25)",0.11864406779661,0.101694915254237,0.322033898305085,0.855932203389831,4.41525423728814,1.8135593220339,0.932203389830508,0.855932203389831,0.686440677966102,0.796610169491525,1.00847457627119,0.254237288135593,0.11864406779661,0.110169491525424,0.11864406779661,0.0593220338983051,0.101694915254237,"[20,25)",118,0.0608561113976276
"[25,30)",0.287878787878788,0.204545454545455,0.174242424242424,0.287878787878788,1.25757575757576,3.08333333333333,2.32575757575758,1.37878787878788,0.939393939393939,0.856060606060606,1.03787878787879,0.856060606060606,0.348484848484849,0.0984848484848485,0.053030303030303,0.0909090909090909,0.143939393939394,"[25,30)",132,0.0680763280041258
"[30,35)",0.582191780821918,0.39041095890411,0.315068493150685,0.219178082191781,0.650684931506849,1.79452054794521,2.81506849315068,1.89041095890411,1.15753424657534,0.698630136986301,0.808219178082192,0.821917808219178,0.643835616438356,0.212328767123288,0.10958904109589,0.0410958904109589,0.0616438356164384,"[30,35)",146,0.075296544610624
"[35,40)",0.410714285714286,0.678571428571429,1.00892857142857,0.366071428571429,0.75,1.0625,1.65178571428571,2.375,1.15178571428571,1.51785714285714,0.491071428571429,0.607142857142857,0.589285714285714,0.303571428571429,0.0892857142857143,0.0625,0.0892857142857143,"[35,40)",112,0.0577617328519856
"[40,45)",0.183673469387755,0.489795918367347,1.02721088435374,1.01360544217687,0.462585034013605,0.700680272108844,1.14285714285714,1.94557823129252,1.68707482993197,1.56462585034014,1.02040816326531,0.523809523809524,0.394557823129252,0.414965986394558,0.333333333333333,0.156462585034014,0.0612244897959184,"[40,45)",147,0.075812274368231
"[45,50)",0.112676056338028,0.274647887323944,0.915492957746479,0.830985915492958,0.76056338028169,1.1056338028169,1.12676056338028,1.07746478873239,1.47183098591549,1.8169014084507,1.63380281690141,1.01408450704225,0.359154929577465,0.183098591549296,0.373239436619718,0.302816901408451,0.119718309859155,"[45,50)",142,0.073233625580196
"[50,55)",0.236024844720497,0.236024844720497,0.366459627329193,0.602484472049689,0.670807453416149,0.857142857142857,0.838509316770186,0.782608695652174,0.93167701863354,1.47204968944099,1.72049689440994,0.981366459627329,0.440993788819876,0.229813664596273,0.204968944099379,0.186335403726708,0.236024844720497,"[50,55)",161,0.0830324909747292
"[55,60)",0.238095238095238,0.217687074829932,0.156462585034014,0.136054421768707,0.482993197278912,0.700680272108844,1.36054421768707,0.877551020408163,1.06802721088435,0.863945578231292,1.54421768707483,1.48979591836735,0.795918367346939,0.394557823129252,0.102040816326531,0.0884353741496599,0.238095238095238,"[55,60)",147,0.075812274368231
"[60,65)",0.382022471910112,0.258426966292135,0.202247191011236,0.0674157303370786,0.247191011235955,0.460674157303371,0.921348314606742,0.876404494382023,0.707865168539326,0.719101123595506,1.10112359550562,1.14606741573034,0.898876404494382,0.382022471910112,0.382022471910112,0.134831460674157,0.235955056179775,"[60,65)",89,0.0458999484270242
"[65,70)",0.12962962962963,0.333333333333333,0.296296296296296,0.111111111111111,0.185185185185185,0.481481481481481,0.537037037037037,0.555555555555556,0.796296296296296,0.851851851851852,0.944444444444444,1.14814814814815,0.851851851851852,0.925925925925926,0.611111111111111,0.388888888888889,0.37037037037037,"[65,70)",54,0.0278494069107788
"[70,75)",0.213333333333333,0.28,0.426666666666667,0.453333333333333,0.146666666666667,0.253333333333333,0.213333333333333,0.6,0.72,0.72,0.773333333333333,0.52,0.64,0.733333333333333,0.786666666666667,0.4,0.36,"[70,75)",75,0.038679731820526
"[75,80)",0.0727272727272727,0.127272727272727,0.290909090909091,0.381818181818182,0.181818181818182,0.181818181818182,0.363636363636364,0.236363636363636,0.454545454545455,0.654545454545455,1.07272727272727,0.581818181818182,0.327272727272727,0.836363636363636,0.545454545454545,0.854545454545454,0.490909090909091,"[75,80)",55,0.0283651366683858
"80+",0.149253731343284,0.194029850746269,0.149253731343284,0.0895522388059701,0.149253731343284,0.402985074626866,0.477611940298507,0.343283582089552,0.388059701492537,0.238805970149254,0.611940298507463,0.447761194029851,0.686567164179104,0.358208955223881,0.507462686567164,0.313432835820896,0.507462686567164,"80+",67,0.0345538937596699
